"name","id.viaf","id.wiki","id.oape"
"ابو عبد الله شمس الدين محمد بن ابراهيم بن ساعد السنجاري المصري الاكفاني","NA","NA","3017"
"ابو عبد الله محمد الاسكافي","NA","NA","1029"
"ابو عبد الله محمد بن ابي سعيد بن احمد بن شرف الجذامي القيرواني","90046557","NA","3018"
"ابو عثمان النابلسي الصفدي","NA","NA","1030"
"ابو عمر محمد بن العباس بن حيويه الحزاز","NA","NA","3019"
"ابو عمر محمد بن العباس بن زكريا ابن حيويه الحزاز","NA","NA","3020"
"ابو عمرو يزيد بن عبد الله اللخمي الاشبيلي الكاتب","NA","NA","19"
"ابو محمد الحسن بن علي بن محمد الجوهري","NA","NA","3022"
"ابو محمد حزم الظاهري","NA","NA","3023"
"ابو محمد علي ابن احمد","NA","NA","20"
"ابو محمد علي بن حزم","NA","NA","1031"
"ابو محمد بن حزم","NA","NA","4272"
"ابو معشر","NA","NA","1032"
"ابو منصور الثعالبي","NA","NA","1033"
"ابو نصر يحيى بن جرير التكريتي","NA","NA","1034"
"ابو نواس","NA","NA","21"
"ابو يوسف","NA","NA","22"
"ابي اسحق الشيرازي","NA","NA","3024"
"ابي اسحق الصابي","NA","NA","3025"
"ابي اسحق النصيبي","NA","NA","3026"
"ابي الحسن احمد بن عبد الرحمن ابن برد","NA","NA","3027"
"ابي الحسن احمد بن عبد الرحمن بن برد","NA","NA","24"
"ابي الحسن محمد بن يوسف العامري","NA","NA","3029"
"ابي الحسن الجرجاني","NA","NA","1035"
"ابي الحسن العامري","NA","NA","3028"
"ابي الحسن بن حريق","NA","NA","25"
"ابي الخطاب الكاتب","NA","NA","3030"
"ابي الضيا توفيق","NA","NA","3032"
"ابي الطبيب المتنبي","NA","NA","3033"
"ابي الطيب عبد الواحد اللغوي","NA","NA","3034"
"ابي العباس احمد بن محمد بن الوليد بن ولاد النحوي","NA","NA","3035"
"ابي العتاهية","NA","NA","1036"
"ابي العلا زين العابدين","NA","NA","3036"
"ابي العلاء الحروري","NA","NA","3037"
"ابي الفتح عثمان بن عبد الله بن جني","NA","NA","23"
"ابي الفتح البوشجاني","NA","NA","3038"
"ابي الفرج المفسر","NA","NA","3039"
"ابي الفضل احمد بن ابي طاهر","NA","NA","26"
"ابي الفضل بديع الزمان الهمذاني","NA","NA","3040"
"ابي الفضل بنان بن بنان النصراني","NA","NA","3216"
"ابي القاسم اسماعيل بن عباد","NA","NA","27"
"ابي القاسم صاعد بن احمد بن صاعد الاندلسي","NA","NA","3043"
"ابي القاسم محمد بن حوقل البغدادي","NA","NA","3044"
"ابي القاسم محمد بن خرداذبة","NA","NA","3045"
"ابي القاسم البيهقي","NA","NA","3041"
"ابي القاسم بن عساكر","NA","NA","3042"
"ابي المحاسن ابن تغري بردي","NA","NA","3046"
"ابي بكر ثابت بن قرة","NA","NA","3050"
"ابي بكر ابن الطفيل","NA","NA","3047"
"ابي بكر الخوارزمي","NA","NA","3048"
