"id","name.Arab","name.Latn","place","lat","long","type"
"oape:287","Berlin SBB Zeitungsabteilung","Berlin SBB Zeitungsabteilung","NA","NA","NA","collection"
"oape:381","Berlin SMB Ethnolog. Museum","Berlin SMB Ethnolog. Museum","Berlin","52.45504","13.29231","collection"
"oape:402","Berlin SMB Ägypt. Museum","Berlin SMB Ägypt. Museum","Berlin","52.51987","13.39871","collection"
"oape:267","Berlin UBFU Campusbibliothek","Berlin UBFU Campusbibliothek","Berlin","52.45383","13.29112","collection"
"oape:404","Berlin UBFU FB Rechtswiss.","Berlin UBFU FB Rechtswiss.","Berlin","52.44699","13.28329","collection"
"oape:377","Berlin UBFU Geowiss. B.","Berlin UBFU Geowiss. B.","Berlin","52.42608","13.35741","collection"
"oape:376","Berlin UBFU Sozialwiss. Bibl.","Berlin UBFU Sozialwiss. Bibl.","Berlin","52.44937","13.27586","collection"
"oape:368","Berlin UBHU Grimm-Zentrum","Berlin UBHU Grimm-Zentrum","Berlin","52.52041","13.39096","collection"
"oape:369","Berlin UBHU ZwB Asien/Afrika","Berlin UBHU ZwB Asien/Afrika","Berlin","52.53064","13.38574","collection"
"oape:288","Berlin UBHU ZwB Campus Nord","Berlin UBHU ZwB Campus Nord","Berlin","52.52879","13.38156","collection"
"oape:358","Berlin UBHU ZwB Theologie","Berlin UBHU ZwB Theologie","Berlin","52.52099","13.40121","collection"
"oape:399","Berlin UBTU","Berlin UBTU","Berlin","52.51046","13.33064","collection"
"oape:375","Berlin ZLB","Berlin ZLB","Berlin","52.49659","13.39179","collection"
"oape:7","Beyazit Kütüphanesi","Beyazit Kütüphanesi","Istanbul","41.010833","28.966111","collection"
"oape:8","Bibliotheca Alexandrina","Bibliotheca Alexandrina","Alexandria","31.20176","29.91582","collection"
"oape:8","Bibliotheca Alexandrina","Bibliotheca Alexandrina","Alexandria","31.20176","29.91582","collection"
"oape:10","Bibliothèque Orientale, Université de Saint Joseph","Bibliothèque Orientale, Université de Saint Joseph","Beirut","33.88894","35.49442","collection"
"oape:11","Bibliothèque interuniversitaire des langues orientales, INALCO (Institut National des Langues et Civilisations Orientales, Paris)","Bibliothèque interuniversitaire des langues orientales, INALCO (Institut National des Langues et Civilisations Orientales, Paris)","Paris","48.85341","2.3488","collection"
"oape:12","Bibliothèque national de France","Bibliothèque national de France","Paris","48.85341","2.3488","collection"
"oape:13","Bibliothèque nationale d'Algerie","Bibliothèque nationale d'Algerie","Algiers","36.73225","3.08746","collection"
"oape:9","المكتبة الوطنية للمملكة المغربية","Bibliothèque nationale du Royaume du Maroc","Tétouan","34.008333","-6.8425","collection"
"oape:382","Bochum BdRuhrgebiets","Bochum BdRuhrgebiets","Bochum","51.47413","7.21688","collection"
"oape:355","Bochum Sem. Orientalistik","Bochum Sem. Orientalistik","Bochum","51.44267","7.25868","collection"
"oape:400","Bochum UB","Bochum UB","Bochum","51.44510","7.26055","collection"
"oape:14","Bodleian Library","Bodleian Library","Oxford","51.75222","-1.25596","collection"
"oape:378","Bonn F.-Ebert-Stiftung Bib.","Bonn F.-Ebert-Stiftung Bib.","Bonn","50.70227","7.13471","collection"
"oape:271","Bonn IOA","Bonn IOA","Bonn","50.74056","7.07275","collection"
"oape:343","Braunschweig HAUM","Braunschweig HAUM","Brunswick","52.26361","10.53264","collection"
"oape:315","Braunschweig UB","Braunschweig UB","Brunswick","52.27371","10.52915","collection"
"oape:292","Bremen SuUB","Bremen SuUB","Bremen","53.10816","8.85387","collection"
"oape:15","British Library","British Library","London","51.50853","-0.12574","collection"
"oape:16","Center for Research Libraries","Center for Research Libraries","NA","NA","NA","collection"
"oape:17","Centre d'Études Alexandrines","Centre d'Études Alexandrines","Alexandria","31.20176","29.91582","collection"
"oape:18","Centre des Archives Diplomatiques, la Courneuve","Centre des Archives Diplomatiques, la Courneuve","Paris","48.85341","2.3488","collection"
"oape:319","Clausthal-Z. UB","Clausthal-Z. UB","Clausthal-Zellerfeld","51.80104","10.34114","collection"
"oape:19","Columbia University Library","Columbia University Library","New York City","40.71427","-74.00597","collection"
"oape:414","Cornell University","Cornell University","Ithaca","42.44063","-76.49661","collection"
"oape:20","Cornell University Library, Cornell University","Cornell University Library, Cornell University","NA","NA","NA","collection"
