"source","target","person.id","person.name.Arab","person.name.Latn","edge.type"
"oape:639","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:639","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:666","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:666","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:666","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:666","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:666","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:1125","oape:950","oape:6149","يوسف كنعان","Yūsuf Kanʿān","editor"
"oape:3029","oape:3205","oape:6448","علي عبد الرحمن الحسيني","ʿAlī ʿAbd al-Raḥmān al-Ḥusaynī","editor"
"oape:3029","oape:2043","oape:6448","علي عبد الرحمن الحسيني","ʿAlī ʿAbd al-Raḥmān al-Ḥusaynī","editor"
"oape:2414","oape:2260","oape:4558","امين سعيد","Amīn Saʿīd","editor"
"oape:2414","oape:3043","oape:4558","امين سعيد","Amīn Saʿīd","editor"
"oape:696","oape:737","oape:4789","د. جورج بوست","Dr. George Post","editor"
"oape:2081","oape:2232","oape:4381","فريد شهاب","Al-Amīr Farīd Shihāb","editor"
"oape:79","oape:95","oape:4144","سعيد عقل","سعيد عقل","editor"
"oape:79","oape:349","oape:4144","سعيد عقل","سعيد عقل","editor"
"oape:80","oclc:1034541808","oape:1673","داود بركات","داود بركات","editor"
"oape:81","oape:349","oape:819","رشيد عطية","رشيد عطية","editor"
"oape:95","oape:2023","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oape:95","oape:1978","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oape:95","oape:2102","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oape:95","oape:349","oape:4144","سعيد عقل","سعيد عقل","editor"
"oclc:1086411815","oape:1285","oape:288","عبد الباسط الانسي","ʿAbd al-Bāsiṭ al-Unsī","editor"
"oclc:1086411815","oape:287","oape:391","محي الدين الخياط","الشيخ محي الدين الخياط","editor"
"oape:905","oape:698","oape:5868","رفائل مشاقة","Rufāʾil Effendi Mishāqa","editor"
"oape:888","oape:747","oape:6031","شالوم فلاح","Shālūm Fallāḥ","editor"
"oape:888","oape:767","oape:6031","شالوم فلاح","Shālūm Fallāḥ","editor"
"oape:888","oape:764","oape:6031","شالوم فلاح","Shālūm Fallāḥ","editor"
"oape:888","oape:756","oape:6031","شالوم فلاح","Shālūm Fallāḥ","editor"
"oape:688","oape:699","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:607","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:733","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:948","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:640","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:611","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:625","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:612","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:688","oape:1139","oape:2821","لويس صابونجي","لويس صابونجي","editor"
"oape:2994","oape:3066","oape:5988","شفيق غندور","Shafīq Ghandūr","editor"
"oape:1021","oape:1012","oape:6434","علي سلام","ʿAlī Salām","editor"
"oape:2893","oape:2655","oape:5473","محمد متولي سويلم","Muḥammad Mutawallī Suwaylim","editor"
"oape:2627","oape:2888","oape:5108","جبران تويني","Jibrān Tuwaynī","editor"
"oape:829","oape:800","oape:299","خليل البدوى","خليل البدوى","editor"
"oape:829","oape:2385","oape:299","خليل البدوى","خليل البدوى","editor"
"oape:829","oape:779","oape:299","خليل البدوى","خليل البدوى","editor"
"oape:829","oape:770","oape:299","خليل البدوى","خليل البدوى","editor"
"oape:1791","oape:1792","oape:6573","حسن فهمي","Ḥasan Fahmī","editor"
"oape:1791","oape:2630","oape:6573","حسن فهمي","Ḥasan Fahmī","editor"
"oape:1791","oape:1316","oape:6573","حسن فهمي","Ḥasan Fahmī","editor"
"oape:1792","oape:2630","oape:6573","حسن فهمي","Ḥasan Fahmī","editor"
"oape:1792","oape:1316","oape:6573","حسن فهمي","Ḥasan Fahmī","editor"
"oape:1792","oape:1932","oape:5363","محمود طاهر","Maḥmūd Ṭāhir","editor"
"oape:1792","oape:1098","oape:5363","محمود طاهر","Maḥmūd Ṭāhir","editor"
"oape:1792","oape:1048","oape:5363","محمود طاهر","Maḥmūd Ṭāhir","editor"
"oape:2747","oape:2963","oape:5662","مصطفی اسماعيل القشاشي","Muṣṭafā Ismāʿīl al-Qashāshī","editor"
"oape:1181","oape:1320","oape:5317","محمود كامل كاشف","Maḥmūd Kāmil Kāshif","editor"
"oape:2192","oape:1906","oape:5503","محمد شاكر الطيبي","Muḥammad Shākir al-Ṭayyibī","editor"
"oape:985","oape:2123","oape:6392","عبد الحميد حمدي","ʿAbd al-Ḥamīd Ḥamdī","editor"
"oape:985","oape:1631","oape:6392","عبد الحميد حمدي","ʿAbd al-Ḥamīd Ḥamdī","editor"
"oape:985","oape:1632","oape:6392","عبد الحميد حمدي","ʿAbd al-Ḥamīd Ḥamdī","editor"
"oape:985","oape:2500","oape:6392","عبد الحميد حمدي","ʿAbd al-Ḥamīd Ḥamdī","editor"
"oape:939","oape:818","oape:4968","ابراهيم عبد المسيح","Ibrāhīm ʿAbd al-Masīḥ","editor"
"oape:752","oape:181","oape:825","سليم عنحوري","سليم عنحوري","editor"
"oape:752","oape:1949","oape:825","سليم عنحوري","سليم عنحوري","editor"
"oape:2960","oape:3208","oape:1980","عبد الرحمن البناء","عبد الرحمن البناء","editor"
"oape:1939","oape:1777","oape:419","عبد الحميد الزهراوي","عبد الحميد الزهراوي","editor"
"oape:1939","oape:1924","oape:419","عبد الحميد الزهراوي","عبد الحميد الزهراوي","editor"
"oape:2866","oape:2578","oape:4813","داود العجيل","Dāwud al-ʿUjayl","editor"
"oape:2137","oape:1263","oape:4952","ابراهيم رمزي","Ibrāhīm Ramzī","editor"
"oape:2137","oape:901","oape:4952","ابراهيم رمزي","Ibrāhīm Ramzī","editor"
"oape:2137","oape:1247","oape:4952","ابراهيم رمزي","Ibrāhīm Ramzī","editor"
"oape:2137","oape:1327","oape:4952","ابراهيم رمزي","Ibrāhīm Ramzī","editor"
"oape:2070","oape:1290","oape:4585","انطون انسطاس زريق","Anṭūn Anasṭās Zurayq","editor"
"oape:2260","oape:3043","oape:4558","امين سعيد","Amīn Saʿīd","editor"
"oape:1673","oape:1058","oape:6613","حسين فريد","Ḥusayn Farīd","editor"
"oape:1354","oape:1401","oape:5728","ن. ج.","N. J.","editor"
